부품 재고현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2026-05-14,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
납품 빈도 : A,,,,,,,,,,,,
순번,신품번,구품번,품명,재고수량,공정 진행중,입고 수량,,,,,,
어댑터,,,,0.0,,,,,`,,,
1,MC000001,7860104,"Adapter, HD4500 Rev2 Casting Type",23.0,,,,,,,,
2,MC000004,7860109,"Adapter, HD5500 Casting Type",25.0,,,,,,,,
3,MC000005,7860110,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",26.0,,,,,,,,
4,MC000006,7890023,"Adapter, RD3009L Casting Type",55.0,,,,,,,,
5,MC000013,7900004,"Adaptor, XD1200 DP To BP Casting Type.",92.0,300,,,,,,,
6,MC000014,7960001,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",24.0,60,,,,,,,
7,MC000573,,ADAPTOR ,26.0,,,,,,,,
8,MC000574,,ADAPTOR ,5.0,,,,,,,,
9,MC000748,,Adaptor_BP TO DP_HD3500 GEN-1_CASTING,40.0,167,,,,,,,
10,MC000798,,ADAPTOR ,8.0,,,,,,,,
11,MC000819,, ADAPTOR_BP TO DP_HD3000 GEN-1 (수리용)_CASTING_GCD450_PAINT,57.0,,,,,,,,
