종목코드,총자산,총자본회전율,부채비율,매출액증가율,자기자본회전율,당기순이익,최대주주변경,대표이사변경,전환사채,파산신청,거래정지,불성실공시법인,레이블
19300,5008.785809,0.808979728,1.327918802,0.006538876,188.3239119,-273.5171133,4,0,0,0,1,0,1
20070,374.0877285,0.216696763,0.143860871,1.134314189,24.78709485,232.38454,3,2,5,0,7,0,1
22520,2891.416905,3.483193278,1.984946536,0.260141295,1039.714571,103.2585332,0,0,0,0,1,0,1
24870,153.5078211,1.209332457,4.061035598,-0.117049285,612.0474615,-34.12908858,4,0,3,0,4,2,1
25460,372.2956842,0.233801754,1.737408608,-0.641389437,64.00109345,49.2555304,4,4,6,0,12,6,1
25970,624.981763,0.831574422,0.233570904,-0.524938093,102.5806012,-515.8114391,0,2,0,0,5,0,1
26220,175.8905071,0.193339962,0.083175951,-0.026890917,20.94211976,-59.51403688,0,0,2,0,10,0,1
26230,845.5420225,1.078725443,-2.155098562,-0.159478574,-124.6034208,-1083.8324,0,0,0,0,8,0,1
26870,9925.274435,1.408541829,0.810977101,0.065393915,255.0836998,238.950922,0,0,0,0,1,0,1
30030,971.2105768,0.8755032,-4.638930247,-0.252361955,-318.5895077,-632.0597307,0,0,0,0,8,2,1
31960,496.7757541,0.184958787,4.127659805,-0.213812797,94.840574,-171.7656156,0,3,12,0,8,4,1
31990,6805.520375,0.268902731,-8.908166206,-0.39190579,-212.6527493,-1594.604088,0,0,0,0,4,2,1
32040,1881.969669,0.583934064,17.30087307,-0.494240995,1068.650319,76.76988579,29,1,9,0,15,0,1
32290,2257.752717,1.019615142,1.978849599,0.520532797,303.7280158,64.49823306,0,1,0,0,5,2,1
32380,979.4530943,0.173168204,1.622265081,-0.356451836,45.40929349,-583.4564935,2,2,0,0,4,0,1
32420,509.254366,0.429543491,3.416402932,0.281188082,189.7037134,-223.8870026,2,3,0,0,9,2,1
32570,416.0158298,0.27605984,4.870991499,-0.161549202,162.0744971,-25.35763453,6,5,6,0,23,2,1
33190,209.0422722,0.153887716,4.510524071,-0.431361681,84.80019623,-208.2222068,4,3,4,0,9,3,1
33260,799.4158601,1.26271548,4.714462934,-0.11119228,721.5740804,-167.4747709,2,2,10,0,15,6,1
33720,744.972672,0.004409286,0.967324719,-0.901638632,0.867449678,-98.48403788,1,4,10,0,10,0,1
33850,346.4997837,0.738213815,2.156308587,0.12257826,233.0030604,-119.8754586,2,3,1,0,11,2,1
33880,164.4712462,0.245213954,6.090861909,0.198643366,173.8778289,-266.6138069,3,5,18,0,13,8,1
34660,192.4686784,0.126967929,2.208965144,-0.330417864,40.74356597,-483.6827704,1,2,0,0,7,2,1
35010,475.4398318,0.567558795,0.42399748,-0.445923318,80.82022938,-9.94555741,3,4,2,0,8,4,1
35400,278.6767072,0.123474263,0.48307453,-0.486883985,18.31215351,-320.3520986,0,3,7,0,10,2,1
35450,288.7069347,0.664919104,0.434093134,1.342525966,95.35559215,-35.60551647,0,0,0,0,13,4,1
36210,1616.164793,0.032500035,-5.693278416,-0.989007126,-15.25317119,-652.2692977,0,1,0,2,9,0,1
36220,767.2577195,0.656668781,0.476591545,-0.085305392,96.96315694,-84.06756246,17,3,0,0,6,6,1
36360,261.4883944,0.603090783,5.586359991,-0.443946628,397.2173002,-292.7218958,4,3,6,0,11,9,1
36610,64.74655342,0.490773632,-1.659752945,-0.554722216,-32.37893489,-521.5360638,7,6,3,0,11,0,1
